Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
Albania,Cement,25070080,Calcined clay,,,,,,,
Albania,Cement,25231000,White clinker,,,,,,,
Albania,Cement,25231000,Grey clinker,0.87,0.0,0.87,0.957,1.044,1.131,(A)
Albania,Cement,25232100,White Portland cement,,,,1.23,0.14,1.37,
Albania,Cement,25232900,Grey Portland cement,0.9,0.03,0.93,1.023,1.116,1.209,
Albania,Cement,25239000,White hydraulic cements,,,,,,,(B)
Albania,Cement,25239000,Grey hydraulic cements,0.86,0.03,0.89,0.979,1.068,1.157,(A)
Albania,Cement,25233000,Aluminous cement,,,,,,,
Albania,Fertilisers,28080000,Nitric acid; sulphonitric acids,2.73,0.04,2.76,2.788,2.788,2.788,
Albania,Fertilisers,28141000,Anhydrous ammonia,,,,,,,
Albania,Fertilisers,28142000,Ammonia in aqueous solution,0.65,0.03,0.68,0.687,0.687,0.687,
Albania,Fertilisers,28342100,Nitrate of potassium,2.19,0.05,2.24,2.262,2.262,2.262,
Albania,Fertilisers,3102,"Mineral or chemical fertilizers, nitrogenous",,,,see below,see below,see below,
Albania,Fertilisers,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.44,0.03,0.47,0.475,0.475,0.475,
Albania,Fertilisers,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.73,0.03,0.76,0.768,0.768,0.768,
Albania,Fertilisers,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",1.33,0.08,1.42,1.434,1.434,1.434,
Albania,Fertilisers,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",1.3,0.08,1.39,1.404,1.404,1.404,
