Country;Sector;Product CN Code;Description;2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up)
Algeria;Iron and steel;26011200;Agglomerated iron ores and concentrates (excl. roasted iron pyrites);0,231;0,252;0,273
Algeria;Iron and steel;7201;Pig iron and spiegeleisen, in pigs, blocks or other primary forms;3,157;3,444;3,731
Algeria;Iron and steel;720211;Ferro-manganese, containing by weight > 2% of carbon;;;
Algeria;Iron and steel;720219;Ferro-manganese, containing by weight <= 2% carbon;;;
Algeria;Iron and steel;720241;Ferro-chromium, containing by weight > 4% of carbon;;;
Algeria;Iron and steel;720249;Ferro-chromium, containing by weight <= 4% of carbon;;;
Algeria;Iron and steel;72026000;Ferro-nickel;;;
Algeria;Iron and steel;7203;"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms";0,891;0,972;1,053
Algeria;Iron and steel;7205;"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)";3,179;3,468;3,757
Algeria;Iron and steel;7206;Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203);;;
Algeria;Iron and steel;72061000;Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203);3,3;3,6;3,9
Algeria;Iron and steel;72069000;Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203);3,3;3,6;3,9
Algeria;Iron and steel;7207;Semi-finished products of iron or non-alloy steel;3,3;3,6;3,9
Algeria;Iron and steel;72071111;Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting;3,3;3,6;3,9
Algeria;Iron and steel;72071114;Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel);3,3;3,6;3,9
Algeria;Iron and steel;72071116;Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel);3,3;3,6;3,9
Algeria;Iron and steel;72071190;Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged;3,3;3,6;3,9
Algeria;Iron and steel;72071210;"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting";3,3;3,6;3,9
Algeria;Iron and steel;72071290;"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged";3,3;3,6;3,9
Algeria;Iron and steel;72071912;Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting;3,3;3,6;3,9
Algeria;Iron and steel;72071919;Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged;3,3;3,6;3,9
Algeria;Iron and steel;72071980;Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section);3,3;3,6;3,9
Algeria;Iron and steel;72072011;Semi-finished products, of non-alloy free-cutting steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting;3,3;3,6;3,9
Algeria;Iron and steel;72072015;Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% but < 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel);3,3;3,6;3,9
