Country,Product CN Code,2026,2027,2028
Albania,25070080,,,
Albania,25231000,,,
Albania,25231000,0.957,1.044,1.131
Albania,25232100,1.23,0.14,1.37
Albania,25232900,1.023,1.116,1.209
Albania,25239000,,,
Albania,25239000,0.979,1.068,1.157
Albania,25233000,,,
Albania,28080000,2.788,2.788,2.788
Albania,28141000,,,
Albania,28142000,0.687,0.687,0.687
Albania,28342100,2.262,2.262,2.262
Albania,3102,,,
Albania,31021012,0.475,0.475,0.475
Albania,31021015,0.768,0.768,0.768
Albania,31021019,1.434,1.434,1.434
Albania,31021090,1.404,1.404,1.404
Albania,31022100,0.677,0.677,0.677
Albania,31022900,1.475,1.475,1.475
Albania,31023010,1.717,1.717,1.717
Albania,31023090,2.646,2.646,2.646
Albania,31024010,2.242,2.242,2.242
Albania,31024090,2.242,2.242,2.242
Albania,31025000,4.353,4.353,4.353
Albania,31026000,2.222,2.222,2.222
Albania,31028000,1.636,1.636,1.636
Albania,31029000,1.656,1.656,1.656
Albania,3105,,,
Albania,31051000,0.869,0.869,0.869
Albania,31052010,1.131,1.131,1.131
Albania,31052090,0.778,0.778,0.778
Albania,31053000,0.556,0.556,0.556
Albania,31054000,0.354,0.354,0.354
Albania,31055100,1.555,1.555,1.555
Albania,31055900,0.646,0.646,0.646
Albania,31059020,1.505,1.505,1.505
Albania,31059080,0.778,0.778,0.778
Albania,28041000,15.433,16.836,18.239
Algeria,25070080,,,
Algeria,25231000,1.474,1.608,1.742
Algeria,25231000,1.408,1.536,1.664
Algeria,25232100,1.507,1.644,1.781
Algeria,25232900,1.43,1.56,1.69
Algeria,25239000,1.584,1.728,1.872
Algeria,25239000,1.364,1.488,1.612
Algeria,25233000,,,
Algeria,28080000,2.555,2.555,2.555
Algeria,28141000,2.101,2.101,2.101
Algeria,28142000,0.626,0.626,0.626
Algeria,28342100,2.081,2.081,2.081
Algeria,3102,,,
Algeria,31021012,0.475,0.475,0.475
Algeria,31021015,0.768,0.768,0.768
Algeria,31021019,1.424,1.424,1.424
Algeria,31021090,1.394,1.394,1.394
Algeria,31022100,0.636,0.636,0.636
Algeria,31022900,1.374,1.374,1.374
Algeria,31023010,1.586,1.586,1.586
Algeria,31023090,2.444,2.444,2.444
Algeria,31024010,2.091,2.091,2.091
Algeria,31024090,2.091,2.091,2.091
Algeria,31025000,3.979,3.979,3.979
Algeria,31026000,2.05,2.05,2.05
Algeria,31028000,1.545,1.545,1.545
Algeria,31029000,1.596,1.596,1.596
Algeria,3105,,,
Algeria,31051000,0.818,0.818,0.818
Algeria,31052010,1.071,1.071,1.071
Algeria,31052090,0.727,0.727,0.727
Algeria,31053000,0.515,0.515,0.515
Algeria,31054000,0.343,0.343,0.343
Algeria,31055100,1.454,1.454,1.454
Algeria,31055900,0.616,0.616,0.616
Algeria,31059020,1.394,1.394,1.394
Algeria,31059080,0.727,0.727,0.727
Algeria,7601,0.396,0.432,0.468
Algeria,7603,1.012,1.104,1.196
Algeria,76041010,1.254,1.368,1.482
Algeria,76041090,1.276,1.392,1.508
Algeria,76042100,1.276,1.392,1.508
Algeria,76042910,1.254,1.368,1.482
Algeria,76042990,1.276,1.392,1.508
Algeria,7605,1.254,1.368,1.482
Algeria,7606,1.76,1.92,2.08
Algeria,7607,1.76,1.92,2.08
Algeria,7608,1.276,1.392,1.508
Algeria,76090000,1.276,1.392,1.508
Algeria,76101000,1.276,1.392,1.508
Algeria,761090,1.276,1.392,1.508
Algeria,76109010,1.276,1.392,1.508
Algeria,76109090,1.276,1.392,1.508
Algeria,76110000,1.76,1.92,2.08
Algeria,7612,1.76,1.92,2.08
Algeria,76130000,1.76,1.92,2.08
Algeria,7614,1.254,1.368,1.482
Algeria,76161000,1.76,1.92,2.08
Algeria,76169100,1.76,1.92,2.08
Algeria,76169910,1.012,1.104,1.196
Algeria,76169990,1.76,1.92,2.08
Algeria,28041000,11.902,12.984,14.066
Algeria,26011200,0.231,0.252,0.273
Algeria,7201,3.157,3.444,3.731
Algeria,720211,,,
Algeria,720219,,,
Algeria,720241,,,
Algeria,720249,,,
Algeria,72026000,,,
Algeria,7203,0.891,0.972,1.053
Algeria,7205,3.179,3.468,3.757
Algeria,7206,,,
Algeria,72061000,3.3,3.6,3.9
Algeria,72069000,3.3,3.6,3.9
Algeria,7207,3.3,3.6,3.9
Algeria,72071111,3.3,3.6,3.9
Algeria,72071114,3.3,3.6,3.9
Algeria,72071116,3.3,3.6,3.9
Algeria,72071190,3.3,3.6,3.9
Algeria,72071210,3.3,3.6,3.9
Algeria,72071290,3.3,3.6,3.9
Algeria,72071912,3.3,3.6,3.9
Algeria,72071919,3.3,3.6,3.9
Algeria,72071980,3.3,3.6,3.9
Algeria,72072011,3.3,3.6,3.9
Algeria,72072015,3.3,3.6,3.9
Algeria,72072017,3.3,3.6,3.9
Algeria,72072019,3.3,3.6,3.9
Algeria,72072032,3.3,3.6,3.9
Algeria,72072039,3.3,3.6,3.9
Algeria,72072052,3.3,3.6,3.9
Algeria,72072059,3.3,3.6,3.9
Algeria,72072080,3.3,3.6,3.9
Algeria,7208,3.3,3.6,3.9
Algeria,7209,3.3,3.6,3.9
Algeria,7210,3.3,3.6,3.9
Algeria,7211,3.3,3.6,3.9
Algeria,72111300,3.3,3.6,3.9
Algeria,72111400,3.3,3.6,3.9
Algeria,72111900,3.3,3.6,3.9
Algeria,721123,3.3,3.6,3.9
Algeria,72112900,3.3,3.6,3.9
Algeria,721190,3.3,3.6,3.9
Algeria,7212,3.3,3.6,3.9
Algeria,7213,3.3,3.6,3.9
Algeria,7214,3.3,3.6,3.9
Algeria,72141000,3.3,3.6,3.9
Algeria,72142000,3.3,3.6,3.9
Algeria,72143000,3.3,3.6,3.9
Algeria,721491,3.3,3.6,3.9
Algeria,721499,3.3,3.6,3.9
Algeria,7215,3.3,3.6,3.9
Algeria,7216,3.3,3.6,3.9
Algeria,7217,3.3,3.6,3.9
Algeria,721710,3.3,3.6,3.9
Algeria,721720,3.3,3.6,3.9
Algeria,721730,3.3,3.6,3.9
Algeria,721790,3.3,3.6,3.9
Algeria,7218,3.63,3.96,4.29
Algeria,72181000,3.63,3.96,4.29
Algeria,721891,3.63,3.96,4.29
Algeria,72189911,3.63,3.96,4.29
Algeria,72189919,3.63,3.96,4.29
Algeria,72189920,3.63,3.96,4.29
Algeria,72189980,3.63,3.96,4.29
Algeria,7219,3.63,3.96,4.29
Algeria,72191100,3.63,3.96,4.29
Algeria,721912,3.63,3.96,4.29
Algeria,721913,3.63,3.96,4.29
Algeria,721914,3.63,3.96,4.29
Algeria,721921,3.63,3.96,4.29
Algeria,721922,3.63,3.96,4.29
Algeria,72192300,3.63,3.96,4.29
Algeria,72192400,3.63,3.96,4.29
Algeria,72193100,3.63,3.96,4.29
